Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,326,12,77556.46,2,5,5,12,At Risk
12347.0,2,8,5266.22,5,4,5,14,Champions
12348.0,75,5,1659.3999999999999,3,4,4,11,Loyal Customers
12349.0,19,3,2765.84,5,3,5,13,Loyal Customers
12350.0,310,1,294.4,2,1,2,5,Others
12351.0,375,1,288.18,2,1,2,5,Others
12352.0,36,9,1461.99,4,5,4,13,Champions
12353.0,204,2,347.06,2,2,2,6,Others
12354.0,232,1,845.25,2,1,3,6,Others
12355.0,214,2,882.3100000000001,2,2,3,7,Others
12356.0,246,5,3984.02,2,4,5,11,At Risk
12357.0,33,2,15629.91,4,2,5,11,Potential Loyalist
12358.0,2,5,3245.4700000000003,5,4,5,14,Champions
12359.0,58,10,5062.89,4,5,5,14,Champions
12360.0,52,6,3177.39,4,4,5,13,Champions
12361.0,287,4,451.25,2,3,2,7,Others
12362.0,3,10,4166.38,5,5,5,15,Champions
12363.0,110,2,504.3,3,2,2,7,Others
12364.0,8,4,1186.2,5,3,4,12,Loyal Customers
12365.0,291,1,307.94,2,1,2,5,Others
12366.0,634,1,500.24,1,1,2,4,Lost
12367.0,4,1,150.9,5,1,1,7,Potential Loyalist
12368.0,628,1,561.0,1,1,3,5,Lost
12369.0,413,3,1459.45,1,3,4,8,Others
12370.0,51,7,3703.31,4,4,5,13,Champions
12371.0,60,4,3228.78,3,3,5,11,Loyal Customers
12372.0,72,3,1116.54,3,3,4,10,Loyal Customers
12373.0,311,3,858.6500000000001,2,3,3,8,Others
12374.0,25,3,2470.62,4,3,4,11,Loyal Customers
12375.0,11,2,345.70000000000005,5,2,2,9,Potential Loyalist
12376.0,390,2,383.15,2,2,2,6,Others
12377.0,315,4,3122.92,2,3,5,10,Others
12378.0,130,2,4703.97,3,2,5,10,Others
12379.0,82,4,1450.32,3,3,4,10,Loyal Customers
12380.0,22,8,6349.95,4,4,5,13,Champions
12381.0,5,5,1276.8600000000001,5,4,4,13,Champions
12383.0,185,5,1382.96,3,4,4,11,Loyal Customers
12384.0,29,2,286.32,4,2,2,8,Potential Loyalist
12385.0,379,1,1404.1,2,1,4,7,Others
12386.0,338,2,660.8,2,2,3,7,Others
12387.0,415,1,110.03999999999999,1,1,1,3,Lost
12388.0,16,8,3834.21,5,4,5,14,Champions
12389.0,403,3,1413.43,2,3,4,9,Others
12390.0,80,1,431.14,3,1,2,6,Others
12391.0,22,6,2096.32,4,4,4,12,Champions
12392.0,591,1,196.95000000000002,1,1,1,3,Lost
12393.0,72,6,2365.8,3,4,4,11,Loyal Customers
12394.0,64,2,1060.58,3,2,4,9,Others
12395.0,19,15,4147.67,5,5,5,15,Champions
12396.0,674,1,883.58,1,1,3,5,Lost
12397.0,36,2,1757.45,4,2,4,10,Potential Loyalist
12398.0,46,1,1387.96,4,1,4,9,Potential Loyalist
12399.0,119,7,1842.3,3,4,4,11,Loyal Customers
12400.0,414,1,205.25,1,1,1,3,Lost
12401.0,303,1,32.85,2,1,1,4,Others
12402.0,323,6,1124.15,2,4,4,10,At Risk
12403.0,50,2,947.36,4,2,3,9,Potential Loyalist
12405.0,149,1,1229.19,3,1,4,8,Others
12406.0,22,5,5955.76,4,4,5,13,Champions
12407.0,50,5,1375.77,4,4,4,12,Champions
12408.0,33,8,3560.5299999999997,4,4,5,13,Champions
12409.0,79,6,20259.63,3,4,5,12,Loyal Customers
12410.0,309,2,497.61,2,2,2,6,Others
12411.0,410,1,255.4,1,1,2,4,Lost
12412.0,75,6,2387.93,3,4,4,11,Loyal Customers
12413.0,67,4,652.1500000000001,3,3,3,9,Loyal Customers
12414.0,217,4,532.41,2,3,3,8,Others
12415.0,24,24,129539.87,4,5,5,14,Champions
12416.0,657,1,202.56,1,1,1,3,Lost
12417.0,3,20,4204.75,5,5,5,15,Champions
12418.0,113,4,1683.25,3,3,4,10,Loyal Customers
